"Date","Price","Open","High","Low","Vol.","Change %"
"19-11-2025","26,052.65","25,918.10","26,074.05","25,856.95","250.11M","0.55%"
"18-11-2025","25,910.05","26,021.80","26,029.85","25,876.50","280.00M","-0.40%"
"17-11-2025","26,013.45","25,948.20","26,024.20","25,906.35","281.77M","0.40%"
"14-11-2025","25,910.05","25,767.90","25,940.20","25,740.80","518.94M","0.12%"
"13-11-2025","25,879.15","25,906.10","26,010.70","25,808.40","385.17M","0.01%"
"12-11-2025","25,875.80","25,834.30","25,934.55","25,781.15","312.59M","0.70%"
"11-11-2025","25,694.95","25,617.00","25,715.80","25,449.25","297.71M","0.47%"
"10-11-2025","25,574.35","25,503.50","25,653.45","25,503.50","243.59M","0.32%"
"07-11-2025","25,492.30","25,433.80","25,551.25","25,318.45","305.61M","-0.07%"
"06-11-2025","25,509.70","25,593.35","25,679.15","25,491.55","371.85M","-0.34%"
"04-11-2025","25,597.65","25,744.75","25,787.40","25,578.40","305.14M","-0.64%"
"03-11-2025","25,763.35","25,696.85","25,803.10","25,645.50","23.35M","0.16%"
"31-10-2025","25,722.10","25,863.80","25,953.75","25,711.20","334.38M","-0.60%"
"30-10-2025","25,877.85","25,984.40","26,032.05","25,845.25","257.37M","-0.68%"
"29-10-2025","26,053.90","25,982.00","26,097.85","25,960.30","321.88M","0.45%"
"28-10-2025","25,936.20","25,939.95","26,041.70","25,810.05","395.23M","-0.11%"
"27-10-2025","25,966.05","25,843.20","26,005.95","25,827.00","266.34M","0.66%"
"24-10-2025","25,795.15","25,935.10","25,944.15","25,718.20","284.91M","-0.37%"
"23-10-2025","25,891.40","26,057.20","26,104.20","25,862.45","448.40M","0.09%"
"21-10-2025","25,868.60","25,901.20","25,934.35","25,825.80","42.47M","0.10%"
"20-10-2025","25,843.15","25,824.60","25,926.20","25,788.50","301.13M","0.52%"
"17-10-2025","25,709.85","25,546.85","25,781.50","25,508.60","422.06M","0.49%"
"16-10-2025","25,585.30","25,394.90","25,625.40","25,376.85","372.78M","1.03%"
"15-10-2025","25,323.55","25,181.95","25,365.15","25,159.35","289.93M","0.71%"
"14-10-2025","25,145.50","25,277.55","25,310.35","25,060.55","292.13M","-0.32%"
"13-10-2025","25,227.35","25,177.30","25,267.30","25,152.30","234.29M","-0.23%"
"10-10-2025","25,285.35","25,167.65","25,330.75","25,156.85","232.94M","0.41%"
"09-10-2025","25,181.80","25,074.30","25,199.25","25,024.30","286.25M","0.54%"
"08-10-2025","25,046.15","25,079.75","25,192.50","25,008.50","227.44M","-0.25%"
"07-10-2025","25,108.30","25,085.30","25,220.90","25,076.30","287.99M","0.12%"
"06-10-2025","25,077.65","24,916.55","25,095.95","24,881.65","268.79M","0.74%"
"03-10-2025","24,894.25","24,759.55","24,904.80","24,747.55","365.85M","0.23%"
"01-10-2025","24,836.30","24,620.55","24,867.95","24,605.95","308.90M","0.92%"
"30-09-2025","24,611.10","24,691.95","24,731.80","24,587.70","303.04M","-0.10%"
"29-09-2025","24,634.90","24,728.55","24,791.30","24,606.20","394.39M","-0.08%"
"26-09-2025","24,654.70","24,818.55","24,868.60","24,629.45","291.54M","-0.95%"
"25-09-2025","24,890.85","25,034.50","25,092.70","24,878.30","342.53M","-0.66%"
"24-09-2025","25,056.90","25,108.75","25,149.85","25,027.45","244.38M","-0.45%"
"23-09-2025","25,169.50","25,209.00","25,261.90","25,084.65","299.20M","-0.13%"
"22-09-2025","25,202.35","25,238.10","25,331.70","25,151.05","254.51M","-0.49%"
"19-09-2025","25,327.05","25,410.20","25,428.75","25,286.30","380.36M","-0.38%"
"18-09-2025","25,423.60","25,441.05","25,448.95","25,329.75","272.19M","0.37%"
"17-09-2025","25,330.25","25,276.60","25,346.50","25,275.35","268.94M","0.36%"
"16-09-2025","25,239.10","25,073.60","25,261.40","25,070.45","240.12M","0.68%"
"15-09-2025","25,069.20","25,118.90","25,138.45","25,048.75","185.38M","-0.18%"
"12-09-2025","25,114.00","25,074.45","25,139.45","25,038.05","225.74M","0.43%"
"11-09-2025","25,005.50","24,945.50","25,037.30","24,940.15","224.57M","0.13%"
"10-09-2025","24,973.10","24,991.00","25,035.70","24,915.05","244.15M","0.42%"
"09-09-2025","24,868.60","24,864.10","24,891.80","24,814.00","226.92M","0.39%"
"08-09-2025","24,773.15","24,802.60","24,885.50","24,751.55","213.23M","0.13%"
"05-09-2025","24,741.00","24,818.85","24,832.35","24,621.60","210.07M","0.03%"
"04-09-2025","24,734.30","24,980.75","24,980.75","24,708.20","314.09M","0.08%"
"03-09-2025","24,715.05","24,616.50","24,737.05","24,533.20","340.28M","0.55%"
"02-09-2025","24,579.60","24,653.00","24,756.10","24,522.35","271.56M","-0.18%"
"01-09-2025","24,625.05","24,432.70","24,635.60","24,432.70","229.33M","0.81%"
